GI	V2	len	db	Plastic
W3_ERR712372_spa_contigs_1065244_1	471	157	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W3_ERR712374_spa_contigs_164254_1	1218	406	BAE47077.1	TP
W3_ERR712374_spa_contigs_423056_2	612	204	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W3_ERR712376_spa_contigs_59572_1	1128	376	AAD03558.1	PAE
W3_ERR712376_spa_contigs_82592_2	1242	414	BAE47077.1	TP
W3_ERR712377_spa_contigs_148884_2	783	261	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W3_ERR712377_spa_contigs_226148_1	486	162	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W3_ERR712377_spa_contigs_609827_1	858	286	BAA35137.1	PHAs
W3_ERR712377_spa_contigs_609827_1	858	286	BAA35137.1	PPL
W3_ERR712377_spa_contigs_667737_1	393	131	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W3_ERR712377_spa_contigs_791095_1	537	179	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W3_ERR712377_spa_contigs_958428_1	741	247	BAA35137.1	PHAs
W3_ERR712377_spa_contigs_958428_1	741	247	BAA35137.1	PPL
W3_ERR712377_spa_contigs_1465319_1	522	174	ACL79592.1	DBP
W3_ERR712377_spa_contigs_1593314_1	468	156	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W3_ERR712380_spa_contigs_308331_2	516	172	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W3_ERR712380_spa_contigs_336764_1	648	216	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W4_SRR3501853_spa_contigs_372533_2	591	197	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W4_SRR3501858_spa_contigs_334331_1	849	283	AAD03558.1	PAE
W4_SRR3501861_spa_contigs_758130_1	552	184	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W4_SRR3501873_spa_contigs_210675_1	879	293	AAD03558.1	PAE
W4_SRR3501884_spa_contigs_468244_1	792	264	ACL79592.1	DBP
W4_SRR3501885_spa_contigs_270770_1	870	290	BAA19791.1	PHAs
W4_SRR3501885_spa_contigs_270770_1	870	290	BAA19791.1	PEA
W4_SRR3501885_spa_contigs_270770_1	870	290	BAA19791.1	PES
W4_SRR3501886_spa_contigs_240049_1	399	133	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W4_SRR3501886_spa_contigs_335900_1	816	272	AAD03558.1	PAE
W4_SRR3501887_spa_contigs_200874_1	1083	361	BAA19791.1	PHAs
W4_SRR3501887_spa_contigs_200874_1	1083	361	BAA19791.1	PEA
W4_SRR3501887_spa_contigs_200874_1	1083	361	BAA19791.1	PES
W4_SRR3501888_spa_contigs_249643_1	1107	369	BAA19791.1	PHAs
W4_SRR3501888_spa_contigs_249643_1	1107	369	BAA19791.1	PEA
W4_SRR3501888_spa_contigs_249643_1	1107	369	BAA19791.1	PES
W4_SRR3501889_spa_contigs_91528_2	1053	351	AAD03558.1	PAE
W4_SRR3501889_spa_contigs_256123_1	861	287	BAA19791.1	PHAs
W4_SRR3501889_spa_contigs_256123_1	861	287	BAA19791.1	PEA
W4_SRR3501889_spa_contigs_256123_1	861	287	BAA19791.1	PES
W4_SRR3501889_spa_contigs_396989_1	522	174	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
W6_W6_spa_contigs_863874_1	297	99	00061||Alkane_hydroxylase||Pseudomonas_sp.||PE	PE
W6_W6_spa_contigs_1148735_1	576	192	ACL79592.1	DBP
W7_W7_spa_contigs_154251_2	1152	384	BAA19791.1	PHAs
W7_W7_spa_contigs_154251_2	1152	384	BAA19791.1	PEA
W7_W7_spa_contigs_154251_2	1152	384	BAA19791.1	PES
SRR19330192_meg_contigs_40335_2	759	253	00069||Chitinase||Streptomyces_thermoviolaceus||PCL	PCL
SRR19330192_meg_contigs_46079_1	858	286	WAU86704.1	PET
SRR19330193_meg_contigs_12255_1	1026	342	WAU86704.1	PET
SRR19330198_meg_contigs_91138_1	537	179	AOA73724.1	PVA
SRR19330198_meg_contigs_109217_1	1032	344	tr|Q7X0P3|Q7X0P3_9XANT	NR
SRR19330203_meg_contigs_97860_1	945	315	QZD35498.1	NR
SRR19330207_meg_contigs_78885_3	444	148	AOA73724.1	PVA
SRR19330215_meg_contigs_116985_2	651	217	UNZ22463.1	PET
SRR19330215_meg_contigs_116985_2	651	217	UNZ22463.1	PBAT
SRR19330220_meg_contigs_68018_1	906	302	QZD35498.1	NR
SRR19330221_meg_contigs_47457_1	783	261	00196||PETase||Micromonosporaceae_bacterium||PET	PET
SRR19330222_meg_contigs_31039_2	609	203	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
SRR19330222_meg_contigs_31039_2	609	203	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
SRR19330222_meg_contigs_31039_2	609	203	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
SRR19330222_meg_contigs_31039_2	609	203	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
SRR19330222_meg_contigs_50107_1	861	287	AOA73724.1	PVA
SRR19330223_meg_contigs_91817_1	474	158	AOA73724.1	PVA
SRR19330223_meg_contigs_117807_2	972	324	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
SRR19330223_meg_contigs_117807_2	972	324	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
SRR19330223_meg_contigs_117807_2	972	324	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
SRR19330223_meg_contigs_117807_2	972	324	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
SRR19330223_meg_contigs_143090_1	855	285	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
SRR19330223_meg_contigs_143090_1	855	285	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
SRR19330223_meg_contigs_143090_1	855	285	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
SRR19330223_meg_contigs_143090_1	855	285	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
SRR19330226_meg_contigs_137004_1	1065	355	WP_107095481.1	PET
SRR19330234_meg_contigs_63217_3	858	286	AOA73724.1	PVA
SRR19330235_meg_contigs_59593_120	861	287	AOA73724.1	PVA
SRR19330243_meg_contigs_29569_1	516	172	AOA73724.1	PVA
SRR19330248_meg_contigs_91093_1	531	177	AOA73724.1	PVA
SRR19330254_meg_contigs_76160_1	894	298	QZD35498.1	NR
SRR19330257_meg_contigs_109345_1	798	266	00069||Chitinase||Streptomyces_thermoviolaceus||PCL	PCL
SRR19330257_meg_contigs_135862_1	459	153	AOA73724.1	PVA
SRR19330261_meg_contigs_13254_1	1602	534	BAS44780.1	NR
SRR19330288_meg_contigs_111370_1	468	156	AOA73724.1	PVA
SRR19330312_meg_contigs_52361_2	531	177	AII11221.1	PE
SRR19330332_meg_contigs_58663_1	723	241	AII11221.1	PE
SRR19330333_meg_contigs_205623_2	804	268	00069||Chitinase||Streptomyces_thermoviolaceus||PCL	PCL
SRR19330340_meg_contigs_1536_2	891	297	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
SRR19330340_meg_contigs_1536_2	891	297	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
SRR19330340_meg_contigs_1536_2	891	297	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
SRR19330340_meg_contigs_1536_2	891	297	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
SRR19330340_meg_contigs_6107_1	717	239	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
SRR19330340_meg_contigs_6107_1	717	239	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
SRR19330340_meg_contigs_6107_1	717	239	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
SRR19330340_meg_contigs_6107_1	717	239	00210||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
SRR19330340_meg_contigs_39917_3	750	250	AOA73724.1	PVA
SRR19330340_meg_contigs_61205_2	657	219	WP_085690612.1	PET
SRR19330340_meg_contigs_107419_2	834	278	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PLA
SRR19330340_meg_contigs_107419_2	834	278	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PHAs
SRR19330340_meg_contigs_107419_2	834	278	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PES
SRR19330340_meg_contigs_107419_2	834	278	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PCL
SRR19330345_meg_contigs_23629_1	717	239	tr|Q75UA4|Q75UA4_9PSEU	PLA
SRR19330345_meg_contigs_96696_3	495	165	AOA73724.1	PVA
SRR19330351_meg_contigs_35581_1	735	245	00069||Chitinase||Streptomyces_thermoviolaceus||PCL	PCL
SRR19330356_meg_contigs_59664_1	861	287	AAN70570.1	PHAs
SRR19330356_meg_contigs_87406_2	1020	340	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
SRR19330356_meg_contigs_87406_2	1020	340	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
SRR19330356_meg_contigs_87406_2	1020	340	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
SRR19330356_meg_contigs_87406_2	1020	340	00211||Lipase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
SRR19330362_meg_contigs_227996_4	528	176	AOA73724.1	PVA
ERR1414209_spa_contigs_5417_3	633	211	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1414214_spa_contigs_6435_5	855	285	AKJ87216.1	PLA
ERR1414226_spa_contigs_118231_1	555	185	AKJ87216.1	PLA
ERR1414230_spa_contigs_63617_1	732	244	AKJ87216.1	PLA
ERR1414231_spa_contigs_198183_2	483	161	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
ERR1414237_spa_contigs_68125_1	447	149	WP_085690612.1	PET
ERR1414238_spa_contigs_13224_2	675	225	WP_085690612.1	PET
ERR1414238_spa_contigs_202597_1	351	117	WP_085690612.1	PET
ERR1414238_spa_contigs_297286_1	288	96	00061||Alkane_hydroxylase||Pseudomonas_sp.||PE	PE
ERR1414239_spa_contigs_8064_2	648	216	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1414239_spa_contigs_8064_2	648	216	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1414239_spa_contigs_8064_2	648	216	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1414239_spa_contigs_8064_2	648	216	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1414240_spa_contigs_31521_1	594	198	AAN70570.1	PHAs
ERR1414241_spa_contigs_2619_2	633	211	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1414241_spa_contigs_46540_1	402	134	WP_085690612.1	PET
ERR1414242_spa_contigs_122705_1	330	110	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1414243_spa_contigs_31410_2	546	182	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1414243_spa_contigs_31410_2	546	182	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1414243_spa_contigs_31410_2	546	182	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1414243_spa_contigs_31410_2	546	182	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1414243_spa_contigs_127714_1	438	146	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1414243_spa_contigs_127714_1	438	146	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1414243_spa_contigs_127714_1	438	146	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1414243_spa_contigs_127714_1	438	146	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1414245_spa_contigs_6599_2	858	286	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1414245_spa_contigs_6599_2	858	286	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1414245_spa_contigs_6599_2	858	286	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1414245_spa_contigs_6599_2	858	286	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1414246_spa_contigs_40222_2	339	113	AMW89397.1	PBAT
ERR1414246_spa_contigs_161682_1	357	119	WP_085690612.1	PET
ERR1414247_spa_contigs_58527_1	636	212	AAN70570.1	PHAs
ERR1414247_spa_contigs_152629_1	384	128	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1414248_spa_contigs_14923_2	624	208	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PLA
ERR1414248_spa_contigs_14923_2	624	208	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PHAs
ERR1414248_spa_contigs_14923_2	624	208	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PES
ERR1414248_spa_contigs_14923_2	624	208	00182||Lipase||Pseudomonas_chlororaphis||PLA_PHA_PES_PCL	PCL
ERR1414248_spa_contigs_53783_2	447	149	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1414248_spa_contigs_53783_2	447	149	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1414248_spa_contigs_53783_2	447	149	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1414248_spa_contigs_53783_2	447	149	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1414248_spa_contigs_71736_1	570	190	WP_085690612.1	PET
ERR1414248_spa_contigs_92386_1	450	150	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1414250_spa_contigs_1097_1	597	199	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1414250_spa_contigs_10078_1	618	206	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1414250_spa_contigs_10078_1	618	206	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1414250_spa_contigs_10078_1	618	206	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1414250_spa_contigs_10078_1	618	206	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1414252_spa_contigs_6667_1	633	211	00111||Alkane-1_monooxygenase||Acinetobacter_johnsonii||PS	PS
ERR1414255_spa_contigs_15916_1	555	185	AAN70570.1	PHAs
ERR1414256_spa_contigs_40614_1	522	174	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PHAs
ERR1414256_spa_contigs_40614_1	522	174	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PLA
ERR1414256_spa_contigs_40614_1	522	174	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PCL
ERR1414256_spa_contigs_40614_1	522	174	00212||PHA_depolymerase||Pseudomonas_chlororaphis||PHBV_PHA_PLA_PCL_PES	PES
ERR1414261_spa_contigs_315_7	1233	411	BAE47077.1	TP
ERR1414272_spa_contigs_22421_1	1707	569	UVG67878.1	PE
ERR1414274_spa_contigs_224334_1	585	195	AKJ87216.1	PLA
ERR2586218_spa_contigs_131752_2	759	253	AAD03558.1	PAE
ERR2586219_spa_contigs_52769_1	1098	366	AAD03558.1	PAE
ERR2586219_spa_contigs_64477_1	1215	405	AAD03558.1	PAE
ERR2586220_spa_contigs_71845_1	843	281	AAD03558.1	PAE
ERR2586220_spa_contigs_139110_1	1023	341	AAD03558.1	PAE
ERR4801150_spa_contigs_21007_2	774	258	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
ERR4801150_spa_contigs_126707_1	504	168	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
ERR4801151_spa_contigs_3636_1	774	258	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
ERR4801152_spa_contigs_620_5	774	258	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
ERR4801153_spa_contigs_172334_1	495	165	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
ERR4801154_spa_contigs_56636_1	543	181	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
ERR4801155_spa_contigs_151_13	1671	557	UVG67878.1	PE
ERR4801155_spa_contigs_196_12	1650	550	UVG67878.1	PE
ERR4801155_spa_contigs_33813_2	783	261	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
ERR4801158_spa_contigs_27084_1	468	156	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
ERR4801161_spa_contigs_29077_1	651	217	MG1	PET
ERR4801162_spa_contigs_28977_1	543	181	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR3401482_spa_contigs_25_101	786	262	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR3401482_spa_contigs_5216_6	621	207	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR3401482_spa_contigs_10205_5	546	182	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR3401483_spa_contigs_6446_4	786	262	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR3401485_spa_contigs_652833_1	393	131	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR3401486_spa_contigs_205665_2	417	139	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR3401487_spa_contigs_163987_1	492	164	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR3401487_spa_contigs_201953_1	429	143	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR3401489_spa_contigs_13511_4	774	258	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR3401489_spa_contigs_87109_1	621	207	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR3401489_spa_contigs_559886_1	513	171	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR3401492_spa_contigs_29637_4	588	196	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR8208344_spa_contigs_5022_4	783	261	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR8208344_spa_contigs_149344_1	501	167	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
SRR8208344_spa_contigs_193741_1	801	267	BAO20806.1	PHAs
SRR8208344_spa_contigs_260529_1	651	217	tr|W6R2Y2|W6R2Y2_PSEP5	PET
SRR8208344_spa_contigs_260529_1	651	217	tr|W6R2Y2|W6R2Y2_PSEP5	PBAT
SRR8208344_spa_contigs_354483_2	453	151	AAA64538.1	PHAs
SRR8208344_spa_contigs_593379_1	459	153	AAQ72538.1	PCL
SRR8208344_spa_contigs_593379_1	459	153	AAQ72538.1	PHAs
SRR8208346_spa_contigs_115322_2	489	163	AAN70570.1	PHAs
SRR8208346_spa_contigs_117884_1	993	331	AAD03558.1	PAE
SRR8208346_spa_contigs_890697_1	456	152	YNPsite06_CeleraDRAFT_160970	PET
SRR8208349_spa_contigs_178049_1	960	320	BAA19791.1	PHAs
SRR8208349_spa_contigs_178049_1	960	320	BAA19791.1	PEA
SRR8208349_spa_contigs_178049_1	960	320	BAA19791.1	PES
SRR8223441_spa_contigs_115219_1	531	177	00071||3HV_dehydrogenase||Paracoccus_denitrificans||P3HV_PHBV_PHA	PHAs
